datetime,total_vol
10/22/2010,21545
10/23/2010,22526
10/24/2010,62707
10/25/2010,28663
10/26/2010,67585
10/27/2010,95974
10/28/2010,34660
10/29/2010,84353
10/30/2010,53262
10/31/2010,37864
11/1/2010,29308
11/2/2010,25460
11/3/2010,24894
11/4/2010,121157
11/5/2010,34158
11/6/2010,97886
11/7/2010,48507
11/8/2010,362333
11/9/2010,76779
11/10/2010,23186
11/11/2010,23965
11/12/2010,12168
11/13/2010,22213
11/14/2010,18968
11/15/2010,34712
11/16/2010,62913
11/17/2010,29748
11/18/2010,19312
11/19/2010,22933
11/20/2010,44336
11/21/2010,40694
11/22/2010,14892
11/23/2010,26813
11/24/2010,28430
11/25/2010,35493
11/26/2010,85229
11/27/2010,14023
11/28/2010,17779
11/29/2010,14877
11/30/2010,37503
12/1/2010,57641
12/2/2010,49189
12/3/2010,22943
12/4/2010,43158
12/5/2010,20058
12/6/2010,68458
12/7/2010,35807
12/8/2010,32359
12/9/2010,21406
12/10/2010,16465
12/11/2010,35052
12/12/2010,11573
12/13/2010,61238
12/14/2010,35810
12/15/2010,28533
12/16/2010,19227
12/17/2010,15390
12/18/2010,27822
12/19/2010,49844
12/20/2010,9947
12/21/2010,25471
12/22/2010,52973
12/23/2010,12081
12/24/2010,8306
12/25/2010,16699
12/26/2010,6221
12/27/2010,36631
12/28/2010,32108
12/29/2010,39442
12/30/2010,24101
12/31/2010,15190
1/1/2011,14165
1/2/2011,16549
1/3/2011,16147
1/4/2011,29843
1/5/2011,15872
1/6/2011,16897
1/7/2011,16471
1/8/2011,28540
1/9/2011,15229
1/10/2011,29205
1/11/2011,33205
1/12/2011,54291
1/13/2011,30136
1/14/2011,46542
1/15/2011,49149
1/16/2011,14231
1/17/2011,53120
1/18/2011,44858
1/19/2011,41823
1/20/2011,39116
1/21/2011,22131
1/22/2011,30108
1/23/2011,41308
1/24/2011,32648
1/25/2011,22572
1/26/2011,19656
1/27/2011,585044
1/28/2011,168850
1/29/2011,20243
1/30/2011,14816
1/31/2011,22125
2/1/2011,65952
2/2/2011,83347
2/3/2011,37980
2/4/2011,26818
2/5/2011,47336
2/6/2011,24206
2/7/2011,117154
2/8/2011,29709
2/9/2011,27157
2/10/2011,65974
2/11/2011,44865
2/12/2011,33819
2/13/2011,20222
2/14/2011,26912
2/15/2011,49798
2/16/2011,29042
2/17/2011,15136
2/18/2011,29197
2/19/2011,39425
2/20/2011,30970
2/21/2011,27628
2/22/2011,31476
2/23/2011,27635
2/24/2011,32620
2/25/2011,31889
2/26/2011,52964
2/27/2011,81308
2/28/2011,25477
3/1/2011,245575
3/2/2011,102167
3/3/2011,95765
3/4/2011,42351
3/5/2011,25239
3/6/2011,44242
3/7/2011,37530
3/8/2011,41558
3/9/2011,101936
3/10/2011,133197
3/11/2011,104570
3/12/2011,65700
3/13/2011,56110
3/14/2011,138121
3/15/2011,81372
3/16/2011,69316
3/17/2011,87744
3/18/2011,68006
3/19/2011,62606
3/20/2011,44225
3/21/2011,56973
3/22/2011,79382
3/23/2011,76069
3/24/2011,109095
3/25/2011,78856
3/26/2011,112312
3/27/2011,64329
3/28/2011,66894
3/29/2011,54311
3/30/2011,54561
3/31/2011,62342
4/1/2011,47904
4/2/2011,33123
4/3/2011,56526
4/4/2011,49865
4/5/2011,64725
4/6/2011,36643
4/7/2011,67732
4/8/2011,49910
4/9/2011,62897
4/10/2011,48990
4/11/2011,46477
4/12/2011,77504
4/13/2011,74439
4/14/2011,48707
4/15/2011,91834
4/16/2011,139197
4/17/2011,719605
4/18/2011,72965
4/19/2011,1681065
4/20/2011,674834
4/21/2011,61429
4/22/2011,135533
4/23/2011,82849
4/24/2011,83009
4/25/2011,44931
4/26/2011,63927
4/27/2011,53907
4/28/2011,111295
4/29/2011,203720
4/30/2011,289771
5/1/2011,79974
5/2/2011,61723
5/3/2011,92210
5/4/2011,184338
5/5/2011,76387
5/6/2011,98543
5/7/2011,99882
5/8/2011,79448
5/9/2011,72603
5/10/2011,104592
5/11/2011,114243
5/12/2011,101674
5/13/2011,324020
5/14/2011,656162
5/15/2011,272130
5/16/2011,62341
5/17/2011,138205
5/18/2011,80290
5/19/2011,55649
5/20/2011,61492
5/21/2011,428152
5/22/2011,249531
5/23/2011,88140
5/24/2011,57121
5/25/2011,75461
5/26/2011,88823
5/27/2011,348801
5/28/2011,47743
5/29/2011,61952
5/30/2011,48576
5/31/2011,67042
6/1/2011,62936
6/2/2011,81061
6/3/2011,155241
6/4/2011,87414
6/5/2011,91087
6/6/2011,108682
6/7/2011,71549
6/8/2011,153860
6/9/2011,177348
6/10/2011,109826
6/11/2011,154088
6/12/2011,620400
6/13/2011,154170
6/14/2011,298363
6/15/2011,122562
6/16/2011,132251
6/17/2011,152927
6/18/2011,116204
6/19/2011,112599
6/20/2011,836861
6/21/2011,114264
6/22/2011,122507
6/23/2011,475995
6/24/2011,106146
6/25/2011,110463
6/26/2011,62915
6/27/2011,96966
6/28/2011,150062
6/29/2011,78893
6/30/2011,99849
7/1/2011,101842
7/2/2011,91032
7/3/2011,44020
7/4/2011,60738
7/5/2011,86599
7/6/2011,86477
7/7/2011,64076
7/8/2011,49867
7/9/2011,50930
7/10/2011,51957
7/11/2011,68593
7/12/2011,56751
7/13/2011,55376
7/14/2011,50253
7/15/2011,49800
7/16/2011,43349
7/17/2011,46909
7/18/2011,187452
7/19/2011,78884
7/20/2011,56113
7/21/2011,56555
7/22/2011,57368
7/23/2011,53874
7/24/2011,41421
7/25/2011,69025
7/26/2011,61760
7/27/2011,62083
7/28/2011,92723
7/29/2011,81460
7/30/2011,49809
7/31/2011,53514
8/1/2011,57864
8/2/2011,86516
8/3/2011,94777
8/4/2011,83388
8/5/2011,117231
8/6/2011,68224
8/7/2011,130394
8/8/2011,171236
8/9/2011,69302
8/10/2011,59908
8/11/2011,55274
8/12/2011,55909
8/13/2011,44865
8/14/2011,56161
8/15/2011,66808
8/16/2011,54361
8/17/2011,63047
8/18/2011,87101
8/19/2011,55157
8/20/2011,46651
8/21/2011,40907
8/22/2011,56422
8/23/2011,47574
8/24/2011,65331
8/25/2011,131799
8/26/2011,80982
8/27/2011,1130325
8/28/2011,39104
8/29/2011,41172
8/30/2011,49082
8/31/2011,49554
9/1/2011,56648
9/2/2011,56115
9/3/2011,43347
9/4/2011,66163
9/5/2011,80592
9/6/2011,84364
9/7/2011,128531
9/8/2011,62044
9/9/2011,127883
9/10/2011,74357
9/11/2011,763603
9/12/2011,80030
9/13/2011,56214
9/14/2011,78213
9/15/2011,52444
9/16/2011,88805
9/17/2011,68373
9/18/2011,56328
9/19/2011,69693
9/20/2011,81908
9/21/2011,121113
9/22/2011,74744
9/23/2011,56265
9/24/2011,66736
9/25/2011,53301
9/26/2011,65547
9/27/2011,79585
9/28/2011,65164
9/29/2011,50305
9/30/2011,60258
10/1/2011,70623
10/2/2011,54094
10/3/2011,52570
10/4/2011,69864
10/5/2011,79500
10/6/2011,134238
10/7/2011,87797
10/8/2011,104100
10/9/2011,74440
10/10/2011,55810
10/11/2011,78723
10/12/2011,70334
10/13/2011,71841
10/14/2011,76909
10/15/2011,75300
10/16/2011,56120
10/17/2011,117624
10/18/2011,103352
10/19/2011,90904
10/20/2011,124854
10/21/2011,95345
10/22/2011,96049
10/23/2011,105599
10/24/2011,94834
10/25/2011,111223
10/26/2011,121547
10/27/2011,77823
10/28/2011,122437
10/29/2011,188686
10/30/2011,79972
10/31/2011,84760
11/1/2011,126458
11/2/2011,138314
11/3/2011,114474
11/4/2011,103368
11/5/2011,111722
11/6/2011,80316
11/7/2011,65214
11/8/2011,117148
11/9/2011,259879
11/10/2011,124976
11/11/2011,140066
11/12/2011,78593
11/13/2011,78550
11/14/2011,123034
11/15/2011,164076
11/16/2011,1404997
11/17/2011,2577739
11/18/2011,2876441
11/19/2011,2397237
11/20/2011,657977
11/21/2011,1162237
11/22/2011,1667159
11/23/2011,1146873
11/24/2011,170706
11/25/2011,177547
11/26/2011,176376
11/27/2011,1115079
11/28/2011,2650759
11/29/2011,2047500
11/30/2011,4727510
12/1/2011,2459820
12/2/2011,3308930
12/3/2011,3682124
12/4/2011,3204551
12/5/2011,1883357
12/6/2011,5825066
12/7/2011,5313161
12/8/2011,3900983
12/9/2011,1170427
12/10/2011,324851
12/11/2011,269281
12/12/2011,323120
12/13/2011,162446
12/14/2011,127687
12/15/2011,141814
12/16/2011,161418
12/17/2011,132783
12/18/2011,80667
12/19/2011,132682
12/20/2011,197252
12/21/2011,164386
12/22/2011,105090
12/23/2011,96289
12/24/2011,84429
12/25/2011,66063
12/26/2011,83490
12/27/2011,82715
12/28/2011,93300
12/29/2011,116367
12/30/2011,84444
12/31/2011,83180
1/1/2012,168855
1/2/2012,103335
1/3/2012,84487
1/4/2012,118758
1/5/2012,211068
1/6/2012,173644
1/7/2012,104557
1/8/2012,80489
1/9/2012,150094
1/10/2012,107633
1/11/2012,109663
1/12/2012,79120
1/13/2012,171761
1/14/2012,123925
1/15/2012,79372
1/16/2012,127665
1/17/2012,145102
1/18/2012,153419
1/19/2012,124975
1/20/2012,146398
1/21/2012,92748
1/22/2012,62236
1/23/2012,70085
1/24/2012,96848
1/25/2012,118374
1/26/2012,130921
1/27/2012,141718
1/28/2012,84212
1/29/2012,94613
1/30/2012,82758
1/31/2012,84150
2/1/2012,140076
2/2/2012,139333
2/3/2012,117984
2/4/2012,136722
2/5/2012,110844
2/6/2012,118829
2/7/2012,113991
2/8/2012,102272
2/9/2012,92417
2/10/2012,91333
2/11/2012,103158
2/12/2012,141274
2/13/2012,136595
2/14/2012,381705
2/15/2012,429552
2/16/2012,274715
2/17/2012,188725
2/18/2012,117067
